sqft,bedrooms,bathrooms,location_score,year_built,garage_capacity,price,price_bucket_proxy
2390.9,3,3.3,8.23,2019,2,781400.0,765209.64
1381.5,5,4.7,6.06,2002,1,597500.0,586176.58
1339.8,3,3.6,7.67,1987,2,581800.0,570407.96
2261.0,3,3.3,6.96,2016,1,705300.0,690577.0
2148.5,2,2.5,4.2,1962,2,588800.0,576141.08
2125.2,4,3.6,8.28,2010,2,743000.0,727827.48
2173.2,4,4.5,3.65,1977,2,602100.0,589132.32
1660.0,3,3.0,6.14,2011,2,587800.0,575966.08
2116.1,5,4.3,7.71,2019,1,763400.0,749357.81
2146.5,2,2.7,4.41,1993,2,598500.0,585731.52
1642.8,1,1.8,3.72,1991,2,465600.0,456194.99
2932.9,4,3.9,5.13,1988,1,812600.0,797003.96
2236.9,4,3.9,8.36,1984,1,749300.0,734688.54
1404.3,2,2.8,9.37,2019,0,585200.0,573421.63
2328.3,2,2.2,5.91,1985,1,663700.0,650352.83
1512.7,1,2.1,6.95,1998,1,529700.0,518528.05
2393.5,2,2.6,9.13,1967,2,708100.0,693804.17
2579.3,4,3.9,1.89,1978,1,649100.0,636239.72
1589.7,3,3.2,3.09,2013,2,515000.0,505252.56
2481.7,2,2.3,7.38,2006,1,735900.0,720871.91
2206.4,3,3.5,8.41,2001,1,750700.0,735591.08
2411.0,1,1.8,8.71,1981,1,705100.0,690523.39
2948.4,2,2.3,4.74,1988,1,744200.0,729428.66
1877.3,3,3.3,1.8,1992,1,479700.0,470497.89
1623.1,5,5.2,4.94,1997,1,598800.0,587138.82
1555.2,4,3.9,3.08,2023,1,553400.0,541746.91
1592.1,1,2.2,3.62,2004,2,458800.0,449697.43
1961.4,4,3.8,7.95,2005,2,702000.0,687621.34
2170.6,4,3.6,1.68,1994,1,562400.0,551657.53
2138.3,4,3.7,8.45,2002,2,756100.0,740897.34
2413.6,3,3.2,4.85,2023,2,693500.0,678870.24
2006.5,3,3.0,6.36,1962,0,609200.0,596906.1
2726.8,2,2.0,1.81,1978,3,647100.0,634387.24
1867.7,1,2.2,4.04,1969,2,513700.0,503548.0
3360.1,2,2.8,1.81,1986,1,717900.0,703286.1
2312.8,2,2.7,9.65,1974,1,756200.0,740783.36
1571.4,3,2.9,8.27,1970,0,591400.0,579078.25
1464.6,3,2.9,5.14,2006,0,521100.0,510480.63
2241.2,3,2.8,3.01,1985,2,602900.0,590414.16
1888.3,1,2.0,9.4,2018,1,673600.0,660613.04
2357.0,5,5.2,4.1,1983,2,718100.0,703287.43
2236.6,4,3.9,2.45,1972,2,629100.0,616579.14
1963.6,4,3.6,6.07,1991,2,638900.0,626149.15
1576.6,5,4.8,9.49,1996,2,718700.0,704798.83
1242.6,3,3.1,1.03,1963,0,332800.0,326688.68
1776.7,5,4.6,3.14,1972,1,546200.0,535623.98
2428.2,1,1.9,9.45,1968,2,714400.0,700288.46
2107.0,3,3.5,2.54,2016,0,570300.0,558369.68
1377.1,2,2.1,2.02,2008,0,377000.0,368925.56
2086.6,2,2.0,6.13,1993,2,622300.0,609431.15
2192.7,2,3.0,8.76,2015,2,727100.0,712933.96
1558.1,3,3.0,5.29,1996,1,525900.0,515418.66
2076.9,4,3.6,9.95,2007,2,777300.0,762188.33
2029.1,3,2.9,7.11,1966,2,649100.0,636619.4
1428.5,2,2.0,1.67,1960,1,338600.0,331465.02
2178.9,4,3.9,9.94,2019,0,772900.0,757458.04
2280.4,3,3.6,4.67,2017,3,696500.0,682563.5
2541.5,3,3.1,3.59,1971,1,636200.0,623312.11
2526.9,3,3.2,6.02,1980,0,720900.0,706214.58
1311.2,2,2.7,3.74,1970,1,413300.0,405626.38
1531.1,2,2.5,1.78,2003,2,443600.0,434753.99
2257.5,4,4.4,1.01,2010,1,615600.0,603294.57
2256.9,2,2.9,5.05,2017,1,648200.0,634834.61
2257.5,3,2.8,8.53,2003,1,734000.0,719657.61
3926.4,4,4.3,6.15,2003,3,1049600.0,1028105.45
2285.4,3,3.2,9.99,1973,1,772600.0,757375.45
2567.8,1,2.2,3.58,1993,2,636700.0,624207.11
2477.0,2,2.5,3.52,1993,3,671200.0,657569.74
2325.7,1,2.2,2.44,1984,0,537000.0,526418.83
1842.4,3,3.5,2.48,2020,3,559000.0,547912.83
2379.5,3,3.0,3.57,1963,3,631200.0,618556.32
1613.6,2,2.5,8.14,2023,2,610200.0,598002.47
1881.6,5,5.2,9.15,2011,1,756800.0,741694.89
1757.3,3,3.6,9.78,2014,2,733100.0,718502.96
2040.9,2,2.1,3.09,1985,2,546500.0,535600.12
3157.3,3,3.5,8.93,1975,3,921100.0,902126.07
1066.4,3,3.1,3.95,1969,1,387800.0,379967.89
2343.1,1,1.3,2.02,2004,2,562900.0,551774.47
1193.6,2,2.4,8.83,1961,1,516500.0,506218.64
1764.0,4,3.7,6.72,1994,1,636400.0,624148.88
2544.5,3,3.6,2.48,1978,1,627700.0,615456.04
2032.1,3,3.1,4.87,1965,2,598600.0,586192.8
1461.1,3,3.6,3.59,1978,1,472400.0,462868.69
1642.3,1,1.3,7.63,2018,2,568300.0,556778.33
2339.8,2,2.3,5.08,2012,3,679900.0,666299.83
1634.8,3,3.0,9.9,2011,1,641200.0,628374.51
2108.2,2,2.2,1.49,2010,2,540400.0,529897.76
2022.8,1,1.3,4.2,1967,1,525100.0,514686.66
1674.2,4,3.7,5.34,1973,1,570800.0,559999.27
3072.0,5,4.8,5.53,1969,2,845000.0,828220.5
2317.0,4,3.8,3.84,1962,3,655000.0,641484.7
987.4,4,3.9,7.56,1997,2,544600.0,533474.36
2093.2,2,2.4,8.87,1988,2,721000.0,706881.89
1669.1,5,5.1,9.45,1974,0,683600.0,669120.92
2426.2,2,2.9,8.25,1982,1,737400.0,721979.06
1603.7,5,4.7,8.66,1982,2,690700.0,676891.35
1942.6,5,4.6,5.95,1977,0,619800.0,607879.46
2252.5,3,2.9,8.43,2005,1,737200.0,723109.52
2432.9,5,5.2,3.73,1978,2,723000.0,708431.45
1399.9,3,2.8,4.59,1987,0,481500.0,472400.41
1832.7,2,2.3,3.85,1985,1,519300.0,508950.13
1762.5,3,3.0,5.21,1969,2,533000.0,521574.29
1673.3,3,3.1,3.57,2006,2,528700.0,518121.96
2882.7,1,1.4,9.65,1963,3,815600.0,798978.55
2202.5,3,3.5,3.82,2014,2,647000.0,634519.12
1369.6,5,4.4,1.88,1961,1,420000.0,411587.16
2458.9,2,2.6,5.74,1962,3,663600.0,649689.04
3061.1,4,3.6,1.51,1966,2,685900.0,671432.14
2516.2,4,3.6,1.99,2014,1,677500.0,663939.51
1240.3,4,4.4,2.97,1975,0,416400.0,406861.89
1757.9,5,4.4,5.18,1990,2,620100.0,607438.92
2633.5,3,3.6,4.9,1969,2,711900.0,697777.52
1646.2,5,4.8,8.2,1978,2,652200.0,638627.49
2221.9,4,3.6,7.66,1987,2,717200.0,703352.99
2387.3,2,3.0,4.84,1976,2,634400.0,622307.5
1536.5,3,3.0,4.0,1987,3,498400.0,487923.65
1970.2,3,3.6,3.85,1978,2,578900.0,567172.98
600.0,2,2.2,7.97,1996,0,380400.0,373289.35
1487.8,3,3.6,1.47,1982,2,456500.0,447369.35
1873.7,3,2.8,1.12,1979,1,484400.0,474014.76
1376.1,2,2.5,8.16,1972,2,553400.0,542260.34
2816.2,3,3.5,5.29,1972,3,764100.0,748391.54
1284.9,4,4.4,2.18,2002,2,474800.0,465858.1
1780.0,3,3.7,3.12,1970,2,512500.0,502552.97
2065.4,1,2.1,9.39,2007,1,693900.0,679865.12
2720.6,1,2.1,8.74,1974,1,772100.0,756729.07
1282.1,3,2.9,7.39,1976,1,528600.0,517373.94
2581.6,4,3.8,5.34,2013,2,775700.0,759809.11
2005.1,2,2.3,5.68,2009,2,612700.0,601222.64
1509.2,3,3.1,9.78,1987,2,631900.0,619288.76
2231.1,2,2.4,9.69,1978,1,736700.0,722431.04
2099.5,2,2.5,2.94,1963,1,534500.0,523926.01
1699.9,4,3.7,8.3,1981,2,648800.0,636481.14
2034.9,3,3.4,2.78,1981,1,524500.0,513010.58
1807.3,1,1.4,2.92,2014,2,490300.0,480399.89
2056.8,3,3.1,7.08,1996,2,687700.0,674768.39
2331.1,1,1.8,4.65,1998,2,649800.0,637282.09
2793.0,3,3.5,9.38,1993,1,842800.0,826606.69
1381.1,3,3.5,1.8,1992,2,419800.0,411400.62
3066.5,2,2.6,5.6,2003,1,791800.0,775695.45
1024.0,2,2.2,9.27,2001,3,555500.0,543876.42
1924.1,3,3.3,9.14,1999,0,690000.0,675651.54
2294.2,4,3.6,2.41,1992,0,588400.0,577035.53
2140.5,5,4.6,4.3,1971,2,660200.0,647252.61
1688.7,1,1.7,6.57,1961,1,508400.0,498198.71
1895.9,4,3.5,2.43,2018,2,552200.0,541410.1
1753.5,3,3.0,9.71,1987,2,667600.0,654319.23
1705.3,3,3.7,9.23,1969,2,680400.0,667273.11
2424.8,4,4.5,2.5,1981,3,665600.0,652764.34
2178.5,4,3.9,2.09,1976,1,575600.0,563555.06
1653.5,5,4.3,1.77,1985,2,504700.0,494742.82
2449.8,3,2.9,9.18,1962,0,756400.0,740437.57
2153.6,3,3.1,2.74,1966,1,557400.0,546318.51
2406.4,4,4.4,4.75,2003,2,723400.0,709234.15
2314.8,2,2.1,5.04,1967,1,615200.0,602239.14
1585.5,3,3.5,6.39,1979,2,580400.0,568583.77
1719.9,3,2.9,1.65,1971,2,459700.0,450510.76
2373.6,3,3.7,3.04,1994,2,625200.0,612812.96
2305.2,2,2.4,9.38,1976,3,741900.0,726922.7
1989.5,2,2.8,9.18,1987,0,643000.0,629553.86
2058.7,4,3.8,8.03,2000,2,759400.0,744185.0
2638.8,2,2.6,1.17,1969,2,605700.0,592759.88
1704.2,3,2.9,3.94,1981,1,499500.0,489393.68
2273.5,2,2.1,6.65,2023,0,676900.0,663141.31
1898.9,1,2.2,3.48,1997,2,510200.0,499928.87
1891.2,1,2.2,9.19,2016,1,689400.0,675332.34
2549.4,2,2.9,6.71,1992,1,705600.0,690734.16
2412.7,4,4.1,1.65,1981,2,623200.0,610552.83
2406.8,2,2.8,9.18,2003,2,779100.0,763983.41
2652.7,5,4.3,9.62,1996,3,915800.0,898114.73
2010.5,3,3.1,1.7,1972,2,514600.0,505527.67
2341.0,3,3.1,5.79,1986,2,662800.0,650389.83
1844.9,3,3.4,3.73,2023,0,557800.0,546045.53
2162.1,3,3.1,4.54,1974,1,591400.0,579367.78
1934.9,4,3.6,2.62,1981,1,544900.0,533990.61
2048.5,2,2.6,6.2,1989,3,659700.0,646463.22
2297.6,3,3.6,9.62,2002,1,759800.0,744638.77
1590.9,4,3.9,5.53,1999,1,560500.0,550493.8
3046.2,4,3.6,1.75,1996,2,735700.0,720444.97
1497.0,4,3.7,6.58,1993,1,569000.0,557263.23
1392.9,3,3.0,4.06,2003,1,488800.0,479845.91
2579.1,4,3.8,8.7,2019,2,852000.0,834652.01
2395.8,3,3.4,4.91,1993,0,672500.0,659246.79
2312.1,3,3.4,2.74,2017,0,606600.0,594985.33
2314.2,2,2.7,2.72,2007,1,598000.0,586283.25
1993.9,3,3.1,7.92,2012,2,712300.0,698149.88
1551.4,2,2.8,3.39,1994,2,463800.0,454993.31
2037.9,2,2.2,7.91,2001,1,675400.0,661445.47
1661.4,4,4.0,2.85,1978,2,513600.0,503079.82
2487.6,2,2.8,3.9,1967,1,640000.0,627467.82
1926.5,1,1.4,5.19,1998,3,565700.0,553351.28
1587.3,1,1.4,9.49,1992,0,586000.0,574988.29
1839.3,4,4.4,9.39,2003,2,732300.0,717805.7
2206.5,3,3.1,2.86,2020,2,617500.0,605226.52
1718.1,3,3.4,4.22,1987,2,546100.0,534362.74
1588.9,4,3.5,2.34,1996,1,493500.0,482986.7
2121.8,4,4.2,5.59,2007,1,660900.0,647482.71
2122.5,2,2.3,5.15,1984,2,629000.0,616823.71
1746.5,3,2.8,9.11,1995,0,620800.0,607345.69
1764.5,4,4.1,9.37,1976,2,683600.0,670322.18
2116.0,3,3.0,4.45,1983,2,610200.0,597815.98
1276.0,2,2.4,5.43,1980,2,466300.0,456862.29
1296.3,4,3.6,9.07,1961,0,587600.0,575974.8
1640.8,3,2.9,8.26,1990,2,597800.0,585978.66
1893.3,2,2.3,1.03,2003,2,471000.0,461223.79
2155.5,3,2.8,3.88,1992,2,577300.0,566066.46
2737.7,1,2.2,4.8,1989,0,677800.0,663084.3
2428.8,2,2.0,3.07,1971,0,580800.0,568958.79
1920.0,4,4.0,2.8,2003,1,591800.0,580040.84
1990.5,1,1.4,1.34,1971,0,434200.0,425343.53
1498.7,3,3.1,6.79,2010,2,597400.0,584538.54
1990.7,3,3.7,3.36,2016,3,615400.0,603471.01
1855.7,1,1.4,1.47,2008,1,444500.0,434985.81
2161.4,5,5.2,3.08,2011,2,643100.0,630204.24
1586.4,2,2.2,8.22,1983,0,569900.0,558578.52
2259.7,2,2.7,8.66,1983,1,691700.0,677875.91
2766.4,2,2.5,5.35,2017,0,756700.0,742150.51
1945.6,2,2.9,4.74,2019,1,588400.0,576605.37
2200.9,1,1.8,9.8,1970,3,733700.0,719239.73
2345.1,3,3.3,2.81,1972,0,579200.0,567588.05
1799.4,5,4.4,2.94,1986,2,570000.0,558906.48
2112.0,2,2.2,3.63,1967,1,546000.0,535776.75
2006.3,3,3.7,2.55,1969,3,550900.0,539950.77
2048.8,3,3.1,4.41,2023,0,605300.0,593584.93
1613.5,4,3.9,9.2,1967,1,648700.0,636453.66
2012.3,3,3.5,6.54,2023,0,649200.0,636894.59
2249.0,2,2.3,4.71,1979,1,587200.0,575263.36
2725.6,2,3.0,9.41,1967,1,826100.0,810096.22
2479.6,3,3.5,1.44,1968,2,606500.0,594494.39
3076.6,4,4.1,2.89,1966,2,761100.0,746436.61
1616.3,2,2.9,6.09,1973,2,563400.0,552416.32
2436.2,3,2.8,6.54,1987,2,718200.0,703973.83
2091.7,4,3.8,1.36,1961,0,536600.0,526084.99
3094.9,4,4.0,4.63,2016,1,838200.0,821563.62
1595.9,5,4.5,6.84,2002,3,635500.0,622937.17
1580.1,4,4.2,7.28,1967,2,630200.0,617516.58
1700.3,3,3.7,6.74,1972,2,608500.0,596204.14
938.1,3,3.2,3.89,1980,2,383600.0,376809.59
1737.1,3,3.1,1.84,2006,0,488600.0,479066.76
1620.4,1,2.2,4.84,1987,1,479700.0,469819.35
2075.2,3,3.2,2.16,1994,0,550500.0,539351.29
2170.9,3,3.2,9.53,1982,1,704100.0,690546.13
2938.1,2,2.4,5.28,2005,0,740300.0,725125.91
2475.2,4,4.4,3.86,2021,1,728200.0,712894.99
1711.5,3,3.3,7.9,1974,2,617600.0,604543.78
1550.8,5,5.0,5.48,1961,2,575100.0,562733.51
2246.0,1,2.1,3.79,2020,2,587000.0,574610.59
1339.9,2,2.3,8.31,2010,3,604200.0,591525.57
2915.7,3,3.2,8.8,1971,0,855000.0,838592.62
2589.7,2,2.8,7.06,2023,0,753600.0,738504.91
1765.4,3,3.1,1.42,2016,2,494300.0,484232.37
1143.4,4,4.3,6.1,2011,1,536100.0,524656.29
2676.9,2,2.9,7.87,1995,1,811100.0,794806.44
1942.7,3,3.4,2.23,1962,1,517100.0,505889.34
2618.9,3,3.5,3.06,1964,1,680600.0,666803.29
1202.8,3,3.6,8.94,1962,2,536000.0,526312.25
1700.3,4,4.3,1.18,2016,1,489700.0,480237.9
2002.6,4,3.9,7.77,2006,2,700600.0,686483.1
2023.5,3,2.8,5.26,1978,2,615500.0,603539.06
1775.0,3,3.2,5.02,1961,1,541900.0,530801.23
2311.4,3,3.4,1.06,2003,1,570600.0,558787.66
1466.2,4,4.0,8.37,1996,1,632200.0,620408.06
1928.8,3,3.5,4.24,2023,1,619000.0,606048.86
2060.1,3,3.1,5.87,2013,2,639200.0,626238.94
2257.2,4,4.1,7.1,1976,2,716700.0,702519.02
2355.8,2,2.2,7.32,1973,2,706200.0,691607.88
1437.7,4,4.2,9.6,1987,1,633900.0,621547.3
1232.9,2,2.5,5.78,1986,2,455300.0,446040.7
2638.8,2,2.2,4.6,2013,2,724000.0,709851.96
2166.2,2,2.3,9.58,1969,1,684900.0,671494.99
1625.8,5,5.0,6.78,1962,2,614200.0,601794.49
2775.6,4,4.0,3.68,1995,1,742600.0,728603.33
2057.8,3,3.0,2.14,1997,2,545900.0,534649.33
2589.6,3,3.7,8.58,2015,2,845900.0,829656.44
2033.8,3,3.5,4.26,2022,0,600600.0,589175.47
3030.4,4,4.5,6.94,1984,2,893400.0,876417.44
2877.7,3,3.2,5.24,1981,0,747200.0,732343.03
1875.5,3,3.2,2.79,2007,0,538400.0,527237.71
2485.8,2,2.9,6.42,1998,3,744200.0,730354.4
2322.7,4,4.0,1.55,2006,3,622100.0,609490.65
2684.3,3,3.5,4.72,1989,0,680600.0,666581.23
1517.5,3,3.0,5.92,1980,1,533600.0,522833.11
2343.0,1,1.7,4.92,1989,1,614500.0,601719.15
2529.2,4,3.6,7.74,1987,1,791800.0,776227.07
1120.6,1,1.5,8.45,1990,2,486600.0,476565.17
1408.4,3,2.8,7.94,2016,3,599000.0,586876.26
980.4,5,4.3,1.35,2011,2,427700.0,419629.89
1865.3,3,3.7,2.75,1985,1,501700.0,491977.85
2358.8,2,2.2,5.83,2002,2,691300.0,677481.79
2751.2,3,3.4,9.41,1981,1,834500.0,817895.44
2037.0,4,4.3,8.51,1980,3,732100.0,717464.13
2814.3,3,3.3,8.58,1960,2,821000.0,804364.42
1309.9,5,4.4,3.73,1996,2,493600.0,483726.74
1148.3,1,2.0,4.87,1972,1,395500.0,387835.42
1972.2,3,3.4,5.24,1980,1,618600.0,606164.92
2192.0,3,3.5,2.42,2005,0,585000.0,573509.88
1983.7,4,4.3,1.28,1968,2,528600.0,517609.67
966.3,2,3.0,9.52,1976,1,486000.0,475978.05
1955.4,4,4.1,3.17,2006,1,594900.0,582634.84
1347.8,3,3.1,3.16,1980,1,462100.0,452575.43
2334.8,3,3.4,1.75,1990,2,588100.0,576981.59
2183.3,2,2.1,9.36,1998,0,706900.0,693125.02
1530.1,4,4.4,6.22,2018,2,601600.0,589029.54
1743.1,2,2.1,7.0,2013,2,599100.0,587336.75
1470.4,2,2.3,9.2,1981,3,558000.0,546644.71
1968.7,2,2.8,4.11,1971,1,545600.0,534346.81
2477.6,4,4.1,6.59,2023,1,767700.0,751603.13
1507.1,3,3.1,1.35,2014,1,416300.0,408459.96
2252.0,4,4.0,2.68,1965,1,605700.0,592904.07
1734.9,2,2.9,8.48,2012,1,624500.0,611984.02
1603.6,3,3.1,7.9,1975,2,595300.0,582920.84
1946.5,3,3.6,4.16,1985,1,594500.0,582997.92
1482.4,4,3.6,4.39,1964,2,481900.0,472094.82
1723.2,4,4.3,5.8,1968,0,550200.0,539128.77
1401.1,1,2.1,1.0,2005,2,377500.0,369899.63
2982.4,3,2.9,3.17,1999,2,764300.0,749165.29
2017.6,1,1.7,2.87,1973,2,477200.0,467662.5
1650.1,3,2.9,3.25,2003,2,518700.0,508304.36
