tenure_months,monthly_spend,support_tickets,contract_type,paperless_billing,usage_gb,churn
19,83.64,0,Month-to-Month,Yes,499.7,0
46,110.53,1,Month-to-Month,Yes,77.8,1
3,34.36,0,Two-Year,Yes,217.7,1
20,77.35,0,Month-to-Month,Yes,392.4,0
25,125.17,1,Two-Year,No,25.8,0
56,85.69,1,Month-to-Month,No,348.0,0
61,111.35,0,Two-Year,Yes,49.4,1
55,116.95,1,Month-to-Month,Yes,125.9,1
35,52.95,0,Month-to-Month,Yes,88.4,0
59,133.84,1,Two-Year,No,454.6,0
39,79.78,0,Month-to-Month,Yes,98.4,1
57,47.32,0,Month-to-Month,No,29.8,0
67,132.5,0,Month-to-Month,Yes,297.9,1
34,74.32,3,One-Year,Yes,179.6,0
41,117.54,0,Two-Year,Yes,208.8,0
22,91.24,2,Month-to-Month,Yes,68.3,1
27,69.64,1,Month-to-Month,Yes,376.6,1
21,125.28,0,Month-to-Month,Yes,304.8,1
41,95.98,4,One-Year,No,188.5,1
31,70.77,0,Month-to-Month,Yes,94.1,1
27,34.25,1,Month-to-Month,Yes,300.8,0
37,136.41,2,Month-to-Month,Yes,391.5,1
66,24.61,2,One-Year,Yes,163.1,0
54,132.21,1,Two-Year,Yes,22.7,0
9,66.79,2,One-Year,Yes,115.0,0
42,103.11,0,Month-to-Month,Yes,344.4,0
36,139.89,3,One-Year,Yes,494.7,1
10,39.72,2,One-Year,Yes,16.6,0
59,93.7,2,Month-to-Month,Yes,160.0,1
40,119.38,3,Month-to-Month,No,40.4,0
54,118.49,1,Month-to-Month,Yes,165.0,1
39,88.33,2,One-Year,No,208.9,0
7,101.22,0,One-Year,Yes,461.2,0
4,118.48,3,One-Year,Yes,49.5,1
15,129.33,2,Month-to-Month,Yes,390.8,1
48,119.04,2,Month-to-Month,Yes,203.8,1
6,66.02,0,Two-Year,Yes,407.5,0
35,149.57,2,Month-to-Month,Yes,261.6,1
71,76.49,2,Two-Year,Yes,29.2,0
68,23.18,1,One-Year,Yes,473.6,0
58,67.14,1,Month-to-Month,No,50.5,0
19,36.61,1,Month-to-Month,No,302.9,1
62,35.79,1,Two-Year,Yes,440.1,0
71,56.6,0,Month-to-Month,Yes,49.1,0
10,26.94,3,Two-Year,Yes,281.4,1
25,109.51,1,Month-to-Month,Yes,413.9,1
44,29.62,2,One-Year,No,493.3,0
58,46.43,1,Two-Year,Yes,364.9,0
25,32.08,3,Two-Year,Yes,146.4,1
40,28.21,5,Month-to-Month,Yes,352.8,0
70,54.81,2,One-Year,No,355.8,0
10,94.35,1,Month-to-Month,Yes,353.0,1
66,145.41,1,Month-to-Month,Yes,428.6,0
25,133.82,1,Month-to-Month,Yes,52.8,1
71,133.87,0,Month-to-Month,Yes,63.1,0
11,42.89,0,Month-to-Month,Yes,323.9,1
36,54.44,2,Month-to-Month,No,477.4,1
49,29.93,1,Two-Year,Yes,238.3,0
48,121.2,2,One-Year,No,480.7,0
7,29.08,5,Month-to-Month,Yes,469.7,1
51,92.37,4,Two-Year,Yes,452.4,0
17,52.22,0,Month-to-Month,No,455.8,0
32,51.65,0,Month-to-Month,Yes,450.2,0
26,148.79,2,One-Year,No,411.7,1
22,118.38,2,Month-to-Month,No,350.5,1
13,128.8,2,One-Year,Yes,22.0,0
12,94.36,1,Month-to-Month,No,74.8,1
71,133.23,1,Month-to-Month,No,75.8,1
1,103.91,2,Month-to-Month,Yes,21.5,1
33,143.0,1,Two-Year,Yes,67.2,1
14,56.57,4,One-Year,Yes,460.7,1
64,97.39,0,One-Year,Yes,335.3,0
43,109.72,3,One-Year,Yes,162.9,1
58,71.08,6,Month-to-Month,Yes,398.7,1
41,134.36,4,One-Year,Yes,249.3,0
68,147.37,2,Month-to-Month,Yes,79.6,0
39,84.19,2,Month-to-Month,Yes,443.4,1
1,70.78,1,One-Year,Yes,175.9,0
41,81.35,2,Month-to-Month,Yes,352.4,0
45,130.86,2,Month-to-Month,No,152.4,1
13,103.91,2,Two-Year,Yes,255.0,1
71,25.82,2,One-Year,Yes,410.0,0
9,90.48,2,One-Year,Yes,86.8,0
63,22.25,0,Month-to-Month,Yes,488.9,0
23,121.21,1,Month-to-Month,Yes,44.4,1
54,62.68,0,One-Year,No,271.7,0
47,81.36,1,One-Year,Yes,458.9,0
39,123.83,2,One-Year,No,473.4,1
26,26.04,1,Two-Year,Yes,123.7,0
1,40.61,1,Two-Year,Yes,80.6,0
14,71.73,2,Month-to-Month,No,365.0,1
65,49.89,2,Two-Year,No,30.6,0
69,63.93,2,One-Year,Yes,247.8,0
67,149.76,0,One-Year,No,400.2,0
49,127.3,1,Month-to-Month,Yes,284.5,1
50,134.91,2,One-Year,No,102.1,0
58,141.82,3,Two-Year,Yes,248.7,1
53,64.32,1,One-Year,No,461.4,1
57,58.62,3,One-Year,Yes,312.4,1
18,50.43,2,Month-to-Month,Yes,363.5,1
16,127.92,0,Month-to-Month,Yes,174.8,1
2,108.34,2,Month-to-Month,Yes,102.4,1
13,50.7,1,Month-to-Month,Yes,135.3,0
45,69.01,2,One-Year,Yes,271.3,0
43,85.87,2,Month-to-Month,Yes,147.3,0
54,88.66,0,One-Year,No,275.6,0
31,135.53,0,Month-to-Month,Yes,356.8,1
9,69.47,2,Month-to-Month,No,369.9,1
48,138.11,2,Month-to-Month,Yes,90.7,1
18,77.38,2,Two-Year,Yes,377.7,0
11,117.03,2,Month-to-Month,Yes,339.6,1
62,140.93,4,Month-to-Month,Yes,15.9,1
19,137.98,1,Two-Year,Yes,38.8,0
24,27.4,1,Two-Year,Yes,326.7,0
13,46.74,1,One-Year,Yes,198.0,0
46,82.0,3,Month-to-Month,Yes,81.6,1
53,76.1,0,Month-to-Month,Yes,31.8,1
29,103.32,2,Two-Year,No,88.1,0
36,142.81,0,Two-Year,No,479.2,1
71,34.61,1,One-Year,No,366.5,0
17,78.74,2,Month-to-Month,No,268.6,1
48,45.01,2,Month-to-Month,Yes,471.4,0
24,136.23,4,Month-to-Month,Yes,313.4,1
54,145.4,2,One-Year,No,365.6,0
1,82.23,1,Month-to-Month,Yes,148.5,0
67,33.52,3,Two-Year,No,298.6,0
6,122.09,2,Month-to-Month,Yes,80.3,1
55,110.63,4,One-Year,Yes,208.2,1
38,66.11,0,Month-to-Month,Yes,26.3,0
33,135.36,1,One-Year,No,116.1,1
8,146.86,4,Month-to-Month,No,46.7,1
20,92.52,0,One-Year,No,200.0,0
55,93.54,1,One-Year,Yes,423.1,1
48,58.68,1,Month-to-Month,Yes,195.2,0
56,95.99,3,Two-Year,Yes,417.5,0
10,77.15,1,One-Year,No,331.7,0
52,59.28,1,Two-Year,Yes,259.7,0
50,28.73,2,Two-Year,Yes,126.1,0
34,52.85,3,Two-Year,Yes,461.9,0
36,45.72,0,Month-to-Month,Yes,36.6,0
61,90.47,1,Month-to-Month,Yes,347.6,0
16,98.22,3,Two-Year,Yes,314.4,0
18,99.11,0,Month-to-Month,Yes,226.1,1
71,70.46,1,Month-to-Month,No,127.8,0
47,74.76,1,One-Year,Yes,221.0,0
32,128.45,0,Month-to-Month,Yes,437.7,1
43,81.91,1,One-Year,Yes,420.0,0
40,148.41,2,Two-Year,No,471.3,0
65,77.15,3,One-Year,Yes,160.8,1
35,104.45,2,Month-to-Month,Yes,199.7,1
69,26.55,3,Month-to-Month,Yes,19.2,0
50,104.93,0,Month-to-Month,Yes,472.0,1
12,130.69,2,Month-to-Month,No,171.4,1
58,142.52,3,Month-to-Month,No,208.0,1
63,149.65,0,Month-to-Month,Yes,454.8,1
49,56.68,3,One-Year,Yes,268.0,0
36,94.8,2,One-Year,Yes,287.4,0
54,78.59,2,Two-Year,Yes,96.4,0
47,93.3,5,One-Year,No,254.3,0
32,40.47,2,Month-to-Month,Yes,459.9,0
53,131.3,1,One-Year,Yes,283.8,0
32,138.24,2,One-Year,No,135.0,0
62,78.46,6,Month-to-Month,Yes,25.3,1
37,56.46,1,One-Year,Yes,174.8,0
38,38.31,2,Month-to-Month,Yes,290.6,1
30,108.89,0,Month-to-Month,Yes,30.9,1
58,60.59,5,Two-Year,No,308.8,1
32,138.24,3,Two-Year,Yes,266.5,0
66,107.23,5,One-Year,Yes,393.9,0
51,103.94,2,One-Year,Yes,24.2,0
11,92.72,0,Two-Year,Yes,392.6,0
59,25.95,0,Two-Year,No,265.2,0
20,141.15,1,Month-to-Month,Yes,191.6,1
37,101.63,1,One-Year,No,483.0,0
49,149.23,3,Month-to-Month,No,88.5,1
19,89.86,1,Month-to-Month,No,275.2,0
55,112.31,2,Month-to-Month,No,167.3,1
40,27.31,3,One-Year,Yes,268.5,0
7,102.13,1,Two-Year,No,280.6,0
5,119.4,1,Two-Year,Yes,53.8,0
42,121.21,4,Month-to-Month,Yes,334.0,1
48,120.11,2,One-Year,Yes,320.9,0
7,49.42,2,Month-to-Month,Yes,387.0,1
11,146.8,2,Month-to-Month,Yes,54.4,1
49,149.37,3,Two-Year,Yes,155.7,1
30,29.83,1,Month-to-Month,Yes,328.6,0
41,141.74,0,One-Year,Yes,77.0,1
3,57.63,0,Month-to-Month,Yes,342.0,0
40,109.61,4,Month-to-Month,No,38.9,1
51,63.95,2,One-Year,Yes,174.1,0
32,145.81,2,Month-to-Month,Yes,424.9,1
48,33.2,1,Month-to-Month,Yes,389.4,1
71,84.71,2,Month-to-Month,Yes,325.9,0
71,75.65,1,One-Year,Yes,436.5,0
20,62.38,1,Two-Year,Yes,357.5,0
35,103.92,1,Two-Year,Yes,264.5,0
24,37.04,1,Two-Year,Yes,490.1,0
40,113.17,0,Two-Year,Yes,350.5,0
52,147.48,1,Two-Year,No,304.7,0
39,124.59,1,One-Year,Yes,210.3,0
68,131.8,2,One-Year,No,452.2,0
61,66.75,1,Month-to-Month,No,154.9,0
65,62.24,3,Two-Year,Yes,14.5,1
62,87.22,2,Month-to-Month,No,106.4,1
2,25.94,3,Month-to-Month,No,63.7,1
6,142.9,2,Two-Year,Yes,166.3,0
43,38.69,4,Month-to-Month,Yes,414.7,1
40,137.39,0,Two-Year,Yes,329.2,0
39,30.87,3,One-Year,Yes,92.8,0
28,126.94,4,Month-to-Month,Yes,396.5,1
63,39.76,2,One-Year,No,257.1,0
64,24.96,5,Two-Year,No,261.2,0
12,113.53,2,Month-to-Month,Yes,187.4,1
41,56.43,1,One-Year,No,433.7,0
29,112.88,2,Two-Year,No,166.0,0
23,92.16,3,Month-to-Month,Yes,56.1,1
51,34.14,0,Month-to-Month,Yes,158.3,0
45,141.18,1,Month-to-Month,Yes,360.5,1
22,78.8,1,Month-to-Month,No,332.2,1
10,115.48,1,Month-to-Month,No,102.1,1
7,85.13,2,One-Year,Yes,64.8,1
15,98.57,4,Month-to-Month,Yes,333.8,1
46,59.36,4,Two-Year,No,341.4,0
61,46.05,3,Month-to-Month,No,189.4,1
61,90.53,2,Month-to-Month,Yes,423.0,1
51,77.23,6,One-Year,Yes,489.3,0
38,70.71,4,Two-Year,No,110.8,1
12,107.43,0,One-Year,Yes,292.8,0
66,109.77,1,Month-to-Month,Yes,12.6,0
54,25.97,1,Two-Year,No,359.4,0
39,64.04,2,Month-to-Month,Yes,213.0,0
39,73.53,1,Month-to-Month,No,104.7,0
30,32.6,0,Month-to-Month,Yes,378.6,1
48,50.67,0,One-Year,Yes,407.2,0
31,26.71,1,Month-to-Month,Yes,64.5,1
25,149.51,1,One-Year,Yes,30.1,1
68,115.75,0,One-Year,Yes,173.7,0
51,31.37,1,Two-Year,Yes,316.7,0
13,22.63,2,Month-to-Month,Yes,398.8,1
63,113.51,2,Month-to-Month,No,277.6,1
42,77.09,2,Month-to-Month,Yes,294.6,0
54,122.28,0,Month-to-Month,Yes,401.9,0
67,140.05,2,One-Year,Yes,269.1,0
56,97.91,2,One-Year,Yes,309.5,0
19,44.32,2,One-Year,Yes,262.9,0
46,121.69,1,Two-Year,Yes,441.4,0
15,144.26,2,Two-Year,No,125.4,0
32,95.43,3,Month-to-Month,Yes,139.4,1
49,108.66,1,Two-Year,Yes,72.7,0
21,63.87,2,Month-to-Month,Yes,411.5,1
65,69.6,0,One-Year,Yes,211.8,0
70,115.51,3,One-Year,Yes,180.5,0
27,140.61,1,Two-Year,No,490.9,0
23,101.77,4,Month-to-Month,Yes,464.1,1
47,122.68,2,One-Year,Yes,486.3,0
12,42.31,2,Two-Year,Yes,79.7,1
66,47.55,1,One-Year,No,446.7,0
5,89.16,1,One-Year,Yes,171.1,0
9,42.95,2,Month-to-Month,Yes,16.2,1
20,102.55,3,Month-to-Month,Yes,201.7,1
63,57.91,1,Two-Year,No,259.5,0
71,122.9,3,One-Year,Yes,63.0,0
30,125.05,2,One-Year,Yes,273.5,0
16,80.29,2,Month-to-Month,No,411.5,1
5,43.51,1,Month-to-Month,Yes,195.0,0
29,104.08,2,Month-to-Month,Yes,182.8,1
47,149.06,1,Month-to-Month,Yes,176.0,0
22,100.94,2,Month-to-Month,No,462.3,0
57,24.65,3,Month-to-Month,Yes,33.9,0
35,22.25,2,One-Year,Yes,228.1,0
60,61.65,1,One-Year,No,139.7,0
70,45.45,1,Month-to-Month,Yes,448.0,0
60,125.7,0,One-Year,Yes,57.1,0
58,129.82,0,Two-Year,No,211.6,0
3,53.62,2,Month-to-Month,Yes,209.3,1
34,62.33,1,Two-Year,Yes,445.3,0
45,50.71,2,Two-Year,Yes,115.6,0
50,138.09,2,Month-to-Month,Yes,326.0,0
2,85.34,0,Month-to-Month,No,75.9,1
15,105.3,2,Month-to-Month,Yes,477.4,1
37,74.01,2,One-Year,Yes,300.6,0
15,102.03,1,Month-to-Month,No,316.9,1
60,70.16,1,Month-to-Month,Yes,222.5,0
64,64.16,1,One-Year,Yes,177.7,0
52,102.48,3,Month-to-Month,Yes,114.2,0
23,96.84,1,Two-Year,Yes,306.0,0
37,58.16,2,Month-to-Month,Yes,477.7,1
41,39.42,0,Two-Year,Yes,186.3,0
57,67.91,0,Month-to-Month,Yes,442.7,0
25,73.98,0,Month-to-Month,Yes,82.9,0
37,101.73,3,Month-to-Month,Yes,468.7,0
40,138.89,0,Two-Year,Yes,181.7,0
46,24.7,0,Month-to-Month,Yes,196.1,0
60,51.68,2,One-Year,Yes,236.8,0
19,45.18,0,Two-Year,Yes,361.9,0
9,85.3,0,One-Year,Yes,362.6,0
69,75.86,1,Month-to-Month,Yes,245.0,0
5,114.77,1,Two-Year,Yes,266.3,0
26,51.51,0,Two-Year,Yes,24.7,0
19,97.28,0,Month-to-Month,Yes,159.1,1
30,134.9,3,One-Year,Yes,179.5,1
48,138.39,1,Two-Year,No,283.8,0
16,144.64,1,Two-Year,No,283.6,1
71,120.52,0,Month-to-Month,Yes,357.9,0
18,137.78,3,Two-Year,Yes,361.3,1
56,50.49,1,Month-to-Month,Yes,125.3,0
21,45.69,3,Month-to-Month,No,387.4,1
31,20.84,2,Month-to-Month,No,19.6,0
1,111.89,2,Month-to-Month,Yes,360.9,1
3,141.87,0,One-Year,No,60.0,0
25,44.3,1,One-Year,Yes,367.5,0
8,102.8,1,Month-to-Month,Yes,268.3,1
65,117.04,0,Month-to-Month,No,224.3,0
62,140.59,5,Month-to-Month,Yes,348.4,1
7,104.09,0,Two-Year,No,27.8,0
7,146.14,4,Two-Year,Yes,119.5,1
8,64.81,0,Month-to-Month,Yes,312.1,0
19,65.49,0,Two-Year,Yes,425.1,0
17,90.59,0,Month-to-Month,Yes,196.7,0
11,69.86,0,One-Year,Yes,136.8,1
49,20.19,1,Two-Year,Yes,264.2,0
11,115.13,0,Month-to-Month,Yes,314.9,1
41,117.72,1,One-Year,Yes,215.9,1
62,117.11,1,Month-to-Month,No,439.6,1
52,64.85,2,Month-to-Month,Yes,266.5,0
66,87.9,0,One-Year,Yes,27.6,0
68,66.8,3,Two-Year,Yes,119.3,0
67,22.08,3,Month-to-Month,Yes,230.8,0
40,93.12,3,Two-Year,Yes,351.9,0
5,36.09,1,Two-Year,Yes,117.7,0
22,30.41,0,Month-to-Month,Yes,488.4,0
37,118.21,1,Month-to-Month,Yes,166.1,1
11,21.24,2,One-Year,Yes,270.9,1
44,144.67,2,One-Year,No,19.3,0
53,86.98,1,Month-to-Month,Yes,443.6,0
61,147.79,1,Two-Year,No,396.5,0
67,27.54,1,One-Year,Yes,105.8,0
13,95.86,3,Month-to-Month,Yes,467.3,1
11,65.41,1,One-Year,Yes,164.8,1
11,129.65,1,Month-to-Month,No,349.2,0
7,66.96,1,Month-to-Month,Yes,411.3,1
17,53.86,2,Two-Year,Yes,373.0,0
48,131.48,0,Two-Year,Yes,459.6,0
14,68.7,2,Month-to-Month,Yes,433.5,0
63,22.19,4,One-Year,No,497.4,1
64,70.74,1,One-Year,No,99.5,0
65,105.09,2,Month-to-Month,No,159.3,1
34,53.07,1,Month-to-Month,Yes,321.8,0
9,76.16,0,One-Year,No,369.2,0
37,27.37,5,One-Year,Yes,272.0,1
30,96.45,0,Month-to-Month,Yes,46.2,1
41,118.32,0,Month-to-Month,No,422.4,1
45,73.73,2,Month-to-Month,Yes,480.8,0
47,74.63,3,Month-to-Month,Yes,208.7,1
7,31.48,2,One-Year,Yes,120.2,1
14,46.25,1,Month-to-Month,Yes,19.5,1
48,40.11,0,Month-to-Month,Yes,126.3,0
6,82.62,1,Two-Year,Yes,353.0,1
34,88.8,2,Month-to-Month,No,456.7,0
46,143.36,2,Month-to-Month,No,55.8,0
59,29.52,1,Two-Year,No,281.1,0
70,97.98,3,One-Year,Yes,350.8,0
8,88.44,1,One-Year,No,145.4,0
24,87.11,1,Month-to-Month,No,289.2,0
67,133.51,0,Month-to-Month,Yes,360.5,0
4,46.72,3,One-Year,Yes,420.5,0
1,25.3,6,One-Year,Yes,231.7,1
34,107.4,4,Month-to-Month,Yes,376.5,1
9,64.87,2,Month-to-Month,Yes,157.9,1
63,22.29,1,Two-Year,Yes,114.4,0
10,52.68,0,Month-to-Month,Yes,101.8,1
10,60.21,0,Month-to-Month,Yes,185.8,0
50,100.19,2,Month-to-Month,Yes,27.6,1
44,42.44,4,Two-Year,No,148.7,0
48,73.7,1,Two-Year,No,329.6,0
6,82.72,2,One-Year,Yes,327.5,0
24,79.7,1,Month-to-Month,Yes,46.0,1
58,146.61,2,Month-to-Month,Yes,150.8,1
64,25.92,0,Month-to-Month,Yes,289.1,0
56,143.63,0,One-Year,Yes,166.1,0
12,95.65,3,One-Year,No,214.8,1
35,123.44,0,Two-Year,Yes,359.3,0
71,75.95,2,Month-to-Month,No,14.5,1
6,79.0,2,One-Year,No,145.4,0
65,134.31,1,One-Year,Yes,79.8,0
60,136.47,2,Month-to-Month,Yes,72.5,0
68,51.03,0,Month-to-Month,Yes,479.9,0
29,45.9,3,One-Year,Yes,194.5,0
38,84.51,5,Two-Year,Yes,268.3,0
22,137.04,3,Month-to-Month,No,369.6,0
8,61.91,1,Two-Year,No,33.2,0
63,104.76,0,One-Year,No,128.1,0
13,112.06,2,Month-to-Month,Yes,417.8,1
27,121.23,0,Month-to-Month,Yes,432.4,0
18,93.31,0,Month-to-Month,Yes,192.7,1
18,72.32,2,Month-to-Month,Yes,193.7,0
62,145.71,0,Month-to-Month,Yes,380.9,0
14,99.47,2,Month-to-Month,Yes,154.6,0
11,114.71,3,Two-Year,Yes,67.4,1
17,64.85,1,One-Year,No,136.2,0
51,107.09,1,One-Year,No,199.8,1
14,53.51,3,Month-to-Month,Yes,35.6,1
57,51.86,1,Month-to-Month,No,244.6,0
6,112.91,4,Month-to-Month,Yes,372.6,0
57,87.78,1,Two-Year,Yes,261.7,0
4,108.83,7,Month-to-Month,No,45.2,1
11,55.03,2,Month-to-Month,Yes,225.7,1
11,97.83,4,One-Year,No,357.4,1
8,77.71,2,One-Year,Yes,38.5,0
59,97.6,0,Two-Year,No,39.3,0
21,57.81,4,Month-to-Month,No,191.6,0
65,113.01,1,Month-to-Month,Yes,105.5,0
24,124.77,1,One-Year,Yes,468.0,1
30,53.79,5,One-Year,Yes,294.9,0
57,59.08,0,Month-to-Month,Yes,150.8,1
17,105.95,1,Month-to-Month,Yes,355.3,0
59,110.43,0,One-Year,No,193.7,0
31,111.53,1,Two-Year,Yes,74.7,0
64,108.75,1,One-Year,No,126.2,0
48,71.07,5,Two-Year,No,324.9,0
23,71.33,2,One-Year,Yes,35.4,0
70,53.13,4,Month-to-Month,Yes,143.6,0
30,40.39,1,Month-to-Month,Yes,112.1,0
55,110.04,3,One-Year,Yes,108.6,0
7,32.11,0,Month-to-Month,Yes,344.6,0
12,141.91,0,One-Year,Yes,414.7,0
60,127.47,3,One-Year,Yes,360.8,1
52,131.48,2,Two-Year,Yes,326.4,0
27,137.87,0,One-Year,No,459.1,1
12,73.12,3,Month-to-Month,No,38.6,1
13,130.07,2,Month-to-Month,Yes,92.1,1
62,40.55,2,Month-to-Month,Yes,213.1,0
29,22.81,2,Two-Year,No,192.5,0
35,122.04,3,Month-to-Month,No,214.8,1
60,29.72,1,Two-Year,Yes,111.2,0
29,148.51,1,Two-Year,Yes,83.3,1
31,107.72,4,One-Year,Yes,259.5,1
61,117.95,1,Month-to-Month,Yes,464.7,0
2,51.95,3,Month-to-Month,Yes,202.1,1
33,107.6,4,Month-to-Month,Yes,31.2,1
62,25.62,1,Month-to-Month,Yes,356.0,0
59,128.92,2,Month-to-Month,Yes,152.6,0
40,42.05,2,Month-to-Month,Yes,130.1,0
49,110.66,0,One-Year,Yes,168.9,0
32,49.18,1,Month-to-Month,No,364.7,0
38,28.9,1,Month-to-Month,Yes,411.2,0
