sqft,bedrooms,bathrooms,location_score,year_built,garage_capacity,price
2579.3,4,3.9,1.89,1978,1,649100.0
1589.7,3,3.2,3.09,2013,2,515000.0
2481.7,2,2.3,7.38,2006,1,735900.0
2206.4,3,3.5,8.41,2001,1,750700.0
2411.0,1,1.8,8.71,1981,1,705100.0
2948.4,2,2.3,4.74,1988,1,744200.0
1877.3,3,3.3,1.8,1992,1,479700.0
1623.1,5,5.2,4.94,1997,1,598800.0
1555.2,4,3.9,3.08,2023,1,553400.0
1592.1,1,2.2,3.62,2004,2,458800.0
1961.4,4,3.8,7.95,2005,2,702000.0
2170.6,4,3.6,1.68,1994,1,562400.0
2138.3,4,3.7,8.45,2002,2,756100.0
2413.6,3,3.2,4.85,2023,2,693500.0
2006.5,3,3.0,6.36,1962,0,609200.0
2726.8,2,2.0,1.81,1978,3,647100.0
1867.7,1,2.2,4.04,1969,2,513700.0
3360.1,2,2.8,1.81,1986,1,717900.0
2312.8,2,2.7,9.65,1974,1,756200.0
1571.4,3,2.9,8.27,1970,0,591400.0
1464.6,3,2.9,5.14,2006,0,521100.0
2241.2,3,2.8,3.01,1985,2,602900.0
1888.3,1,2.0,9.4,2018,1,673600.0
2357.0,5,5.2,4.1,1983,2,718100.0
2236.6,4,3.9,2.45,1972,2,629100.0
1963.6,4,3.6,6.07,1991,2,638900.0
1576.6,5,4.8,9.49,1996,2,718700.0
1242.6,3,3.1,1.03,1963,0,332800.0
1776.7,5,4.6,3.14,1972,1,546200.0
2428.2,1,1.9,9.45,1968,2,714400.0
2107.0,3,3.5,2.54,2016,0,570300.0
1377.1,2,2.1,2.02,2008,0,377000.0
2086.6,2,2.0,6.13,1993,2,622300.0
2192.7,2,3.0,8.76,2015,2,727100.0
1558.1,3,3.0,5.29,1996,1,525900.0
2076.9,4,3.6,9.95,2007,2,777300.0
2029.1,3,2.9,7.11,1966,2,649100.0
1428.5,2,2.0,1.67,1960,1,338600.0
2178.9,4,3.9,9.94,2019,0,772900.0
2280.4,3,3.6,4.67,2017,3,696500.0
2541.5,3,3.1,3.59,1971,1,636200.0
2526.9,3,3.2,6.02,1980,0,720900.0
1311.2,2,2.7,3.74,1970,1,413300.0
1531.1,2,2.5,1.78,2003,2,443600.0
2257.5,4,4.4,1.01,2010,1,615600.0
2256.9,2,2.9,5.05,2017,1,648200.0
2257.5,3,2.8,8.53,2003,1,734000.0
3926.4,4,4.3,6.15,2003,3,1049600.0
2285.4,3,3.2,9.99,1973,1,772600.0
2567.8,1,2.2,3.58,1993,2,636700.0
2477.0,2,2.5,3.52,1993,3,671200.0
2325.7,1,2.2,2.44,1984,0,537000.0
1842.4,3,3.5,2.48,2020,3,559000.0
2379.5,3,3.0,3.57,1963,3,631200.0
1613.6,2,2.5,8.14,2023,2,610200.0
1881.6,5,5.2,9.15,2011,1,756800.0
1757.3,3,3.6,9.78,2014,2,733100.0
2040.9,2,2.1,3.09,1985,2,546500.0
3157.3,3,3.5,8.93,1975,3,921100.0
1066.4,3,3.1,3.95,1969,1,387800.0
2343.1,1,1.3,2.02,2004,2,562900.0
1193.6,2,2.4,8.83,1961,1,516500.0
1764.0,4,3.7,6.72,1994,1,636400.0
2544.5,3,3.6,2.48,1978,1,627700.0
2032.1,3,3.1,4.87,1965,2,598600.0
1461.1,3,3.6,3.59,1978,1,472400.0
1642.3,1,1.3,7.63,2018,2,568300.0
2339.8,2,2.3,5.08,2012,3,679900.0
1634.8,3,3.0,9.9,2011,1,641200.0
2108.2,2,2.2,1.49,2010,2,540400.0
2022.8,1,1.3,4.2,1967,1,525100.0
1674.2,4,3.7,5.34,1973,1,570800.0
3072.0,5,4.8,5.53,1969,2,845000.0
2317.0,4,3.8,3.84,1962,3,655000.0
987.4,4,3.9,7.56,1997,2,544600.0
2093.2,2,2.4,8.87,1988,2,721000.0
1669.1,5,5.1,9.45,1974,0,683600.0
2426.2,2,2.9,8.25,1982,1,737400.0
1603.7,5,4.7,8.66,1982,2,690700.0
1942.6,5,4.6,5.95,1977,0,619800.0
2252.5,3,2.9,8.43,2005,1,737200.0
2432.9,5,5.2,3.73,1978,2,723000.0
1399.9,3,2.8,4.59,1987,0,481500.0
1832.7,2,2.3,3.85,1985,1,519300.0
1762.5,3,3.0,5.21,1969,2,533000.0
1673.3,3,3.1,3.57,2006,2,528700.0
2882.7,1,1.4,9.65,1963,3,815600.0
2202.5,3,3.5,3.82,2014,2,647000.0
1369.6,5,4.4,1.88,1961,1,420000.0
2458.9,2,2.6,5.74,1962,3,663600.0
3061.1,4,3.6,1.51,1966,2,685900.0
2516.2,4,3.6,1.99,2014,1,677500.0
1240.3,4,4.4,2.97,1975,0,416400.0
1757.9,5,4.4,5.18,1990,2,620100.0
2633.5,3,3.6,4.9,1969,2,711900.0
1646.2,5,4.8,8.2,1978,2,652200.0
2221.9,4,3.6,7.66,1987,2,717200.0
2387.3,2,3.0,4.84,1976,2,634400.0
1536.5,3,3.0,4.0,1987,3,498400.0
1970.2,3,3.6,3.85,1978,2,578900.0
600.0,2,2.2,7.97,1996,0,380400.0
1487.8,3,3.6,1.47,1982,2,456500.0
1873.7,3,2.8,1.12,1979,1,484400.0
1376.1,2,2.5,8.16,1972,2,553400.0
2816.2,3,3.5,5.29,1972,3,764100.0
1284.9,4,4.4,2.18,2002,2,474800.0
1780.0,3,3.7,3.12,1970,2,512500.0
2065.4,1,2.1,9.39,2007,1,693900.0
2720.6,1,2.1,8.74,1974,1,772100.0
1282.1,3,2.9,7.39,1976,1,528600.0
2581.6,4,3.8,5.34,2013,2,775700.0
2005.1,2,2.3,5.68,2009,2,612700.0
1509.2,3,3.1,9.78,1987,2,631900.0
2231.1,2,2.4,9.69,1978,1,736700.0
2099.5,2,2.5,2.94,1963,1,534500.0
1699.9,4,3.7,8.3,1981,2,648800.0
2034.9,3,3.4,2.78,1981,1,524500.0
1807.3,1,1.4,2.92,2014,2,490300.0
2056.8,3,3.1,7.08,1996,2,687700.0
2331.1,1,1.8,4.65,1998,2,649800.0
2793.0,3,3.5,9.38,1993,1,842800.0
1381.1,3,3.5,1.8,1992,2,419800.0
3066.5,2,2.6,5.6,2003,1,791800.0
1024.0,2,2.2,9.27,2001,3,555500.0
1924.1,3,3.3,9.14,1999,0,690000.0
2294.2,4,3.6,2.41,1992,0,588400.0
2140.5,5,4.6,4.3,1971,2,660200.0
1688.7,1,1.7,6.57,1961,1,508400.0
1895.9,4,3.5,2.43,2018,2,552200.0
1753.5,3,3.0,9.71,1987,2,667600.0
1705.3,3,3.7,9.23,1969,2,680400.0
2424.8,4,4.5,2.5,1981,3,665600.0
2178.5,4,3.9,2.09,1976,1,575600.0
1653.5,5,4.3,1.77,1985,2,504700.0
2449.8,3,2.9,9.18,1962,0,756400.0
2153.6,3,3.1,2.74,1966,1,557400.0
2406.4,4,4.4,4.75,2003,2,723400.0
2314.8,2,2.1,5.04,1967,1,615200.0
1585.5,3,3.5,6.39,1979,2,580400.0
1719.9,3,2.9,1.65,1971,2,459700.0
2373.6,3,3.7,3.04,1994,2,625200.0
2305.2,2,2.4,9.38,1976,3,741900.0
1989.5,2,2.8,9.18,1987,0,643000.0
2058.7,4,3.8,8.03,2000,2,759400.0
2638.8,2,2.6,1.17,1969,2,605700.0
1704.2,3,2.9,3.94,1981,1,499500.0
2273.5,2,2.1,6.65,2023,0,676900.0
1898.9,1,2.2,3.48,1997,2,510200.0
1891.2,1,2.2,9.19,2016,1,689400.0
2549.4,2,2.9,6.71,1992,1,705600.0
2412.7,4,4.1,1.65,1981,2,623200.0
2406.8,2,2.8,9.18,2003,2,779100.0
2652.7,5,4.3,9.62,1996,3,915800.0
2010.5,3,3.1,1.7,1972,2,514600.0
2341.0,3,3.1,5.79,1986,2,662800.0
1844.9,3,3.4,3.73,2023,0,557800.0
2162.1,3,3.1,4.54,1974,1,591400.0
1934.9,4,3.6,2.62,1981,1,544900.0
2048.5,2,2.6,6.2,1989,3,659700.0
2297.6,3,3.6,9.62,2002,1,759800.0
1590.9,4,3.9,5.53,1999,1,560500.0
3046.2,4,3.6,1.75,1996,2,735700.0
1497.0,4,3.7,6.58,1993,1,569000.0
1392.9,3,3.0,4.06,2003,1,488800.0
2579.1,4,3.8,8.7,2019,2,852000.0
2395.8,3,3.4,4.91,1993,0,672500.0
2312.1,3,3.4,2.74,2017,0,606600.0
2314.2,2,2.7,2.72,2007,1,598000.0
1993.9,3,3.1,7.92,2012,2,712300.0
1551.4,2,2.8,3.39,1994,2,463800.0
2037.9,2,2.2,7.91,2001,1,675400.0
1661.4,4,4.0,2.85,1978,2,513600.0
2487.6,2,2.8,3.9,1967,1,640000.0
1926.5,1,1.4,5.19,1998,3,565700.0
1587.3,1,1.4,9.49,1992,0,586000.0
1839.3,4,4.4,9.39,2003,2,732300.0
2206.5,3,3.1,2.86,2020,2,617500.0
1718.1,3,3.4,4.22,1987,2,546100.0
1588.9,4,3.5,2.34,1996,1,493500.0
2121.8,4,4.2,5.59,2007,1,660900.0
2122.5,2,2.3,5.15,1984,2,629000.0
1746.5,3,2.8,9.11,1995,0,620800.0
1764.5,4,4.1,9.37,1976,2,683600.0
2116.0,3,3.0,4.45,1983,2,610200.0
1276.0,2,2.4,5.43,1980,2,466300.0
1296.3,4,3.6,9.07,1961,0,587600.0
1640.8,3,2.9,8.26,1990,2,597800.0
1893.3,2,2.3,1.03,2003,2,471000.0
2155.5,3,2.8,3.88,1992,2,577300.0
2737.7,1,2.2,4.8,1989,0,677800.0
2428.8,2,2.0,3.07,1971,0,580800.0
1920.0,4,4.0,2.8,2003,1,591800.0
1990.5,1,1.4,1.34,1971,0,434200.0
1498.7,3,3.1,6.79,2010,2,597400.0
1990.7,3,3.7,3.36,2016,3,615400.0
1855.7,1,1.4,1.47,2008,1,444500.0
2161.4,5,5.2,3.08,2011,2,643100.0
1586.4,2,2.2,8.22,1983,0,569900.0
2259.7,2,2.7,8.66,1983,1,691700.0
2766.4,2,2.5,5.35,2017,0,756700.0
1945.6,2,2.9,4.74,2019,1,588400.0
2200.9,1,1.8,9.8,1970,3,733700.0
2345.1,3,3.3,2.81,1972,0,579200.0
1799.4,5,4.4,2.94,1986,2,570000.0
2112.0,2,2.2,3.63,1967,1,546000.0
2006.3,3,3.7,2.55,1969,3,550900.0
2048.8,3,3.1,4.41,2023,0,605300.0
1613.5,4,3.9,9.2,1967,1,648700.0
2012.3,3,3.5,6.54,2023,0,649200.0
2249.0,2,2.3,4.71,1979,1,587200.0
2725.6,2,3.0,9.41,1967,1,826100.0
2479.6,3,3.5,1.44,1968,2,606500.0
3076.6,4,4.1,2.89,1966,2,761100.0
1616.3,2,2.9,6.09,1973,2,563400.0
2436.2,3,2.8,6.54,1987,2,718200.0
2091.7,4,3.8,1.36,1961,0,536600.0
3094.9,4,4.0,4.63,2016,1,838200.0
1595.9,5,4.5,6.84,2002,3,635500.0
1580.1,4,4.2,7.28,1967,2,630200.0
1700.3,3,3.7,6.74,1972,2,608500.0
938.1,3,3.2,3.89,1980,2,383600.0
1737.1,3,3.1,1.84,2006,0,488600.0
1620.4,1,2.2,4.84,1987,1,479700.0
2075.2,3,3.2,2.16,1994,0,550500.0
2170.9,3,3.2,9.53,1982,1,704100.0
2938.1,2,2.4,5.28,2005,0,740300.0
2475.2,4,4.4,3.86,2021,1,728200.0
1711.5,3,3.3,7.9,1974,2,617600.0
1550.8,5,5.0,5.48,1961,2,575100.0
2246.0,1,2.1,3.79,2020,2,587000.0
1339.9,2,2.3,8.31,2010,3,604200.0
2915.7,3,3.2,8.8,1971,0,855000.0
2589.7,2,2.8,7.06,2023,0,753600.0
1765.4,3,3.1,1.42,2016,2,494300.0
1143.4,4,4.3,6.1,2011,1,536100.0
2676.9,2,2.9,7.87,1995,1,811100.0
1942.7,3,3.4,2.23,1962,1,517100.0
2618.9,3,3.5,3.06,1964,1,680600.0
1202.8,3,3.6,8.94,1962,2,536000.0
1700.3,4,4.3,1.18,2016,1,489700.0
2002.6,4,3.9,7.77,2006,2,700600.0
2023.5,3,2.8,5.26,1978,2,615500.0
1775.0,3,3.2,5.02,1961,1,541900.0
2311.4,3,3.4,1.06,2003,1,570600.0
1466.2,4,4.0,8.37,1996,1,632200.0
1928.8,3,3.5,4.24,2023,1,619000.0
2060.1,3,3.1,5.87,2013,2,639200.0
2257.2,4,4.1,7.1,1976,2,716700.0
2355.8,2,2.2,7.32,1973,2,706200.0
1437.7,4,4.2,9.6,1987,1,633900.0
1232.9,2,2.5,5.78,1986,2,455300.0
2638.8,2,2.2,4.6,2013,2,724000.0
2166.2,2,2.3,9.58,1969,1,684900.0
1625.8,5,5.0,6.78,1962,2,614200.0
2775.6,4,4.0,3.68,1995,1,742600.0
2057.8,3,3.0,2.14,1997,2,545900.0
2589.6,3,3.7,8.58,2015,2,845900.0
2033.8,3,3.5,4.26,2022,0,600600.0
3030.4,4,4.5,6.94,1984,2,893400.0
2877.7,3,3.2,5.24,1981,0,747200.0
1875.5,3,3.2,2.79,2007,0,538400.0
2485.8,2,2.9,6.42,1998,3,744200.0
2322.7,4,4.0,1.55,2006,3,622100.0
2684.3,3,3.5,4.72,1989,0,680600.0
1517.5,3,3.0,5.92,1980,1,533600.0
2343.0,1,1.7,4.92,1989,1,614500.0
2529.2,4,3.6,7.74,1987,1,791800.0
1120.6,1,1.5,8.45,1990,2,486600.0
1408.4,3,2.8,7.94,2016,3,599000.0
980.4,5,4.3,1.35,2011,2,427700.0
1865.3,3,3.7,2.75,1985,1,501700.0
2358.8,2,2.2,5.83,2002,2,691300.0
2751.2,3,3.4,9.41,1981,1,834500.0
2037.0,4,4.3,8.51,1980,3,732100.0
2814.3,3,3.3,8.58,1960,2,821000.0
1309.9,5,4.4,3.73,1996,2,493600.0
1148.3,1,2.0,4.87,1972,1,395500.0
1972.2,3,3.4,5.24,1980,1,618600.0
2192.0,3,3.5,2.42,2005,0,585000.0
1983.7,4,4.3,1.28,1968,2,528600.0
966.3,2,3.0,9.52,1976,1,486000.0
1955.4,4,4.1,3.17,2006,1,594900.0
1347.8,3,3.1,3.16,1980,1,462100.0
2334.8,3,3.4,1.75,1990,2,588100.0
2183.3,2,2.1,9.36,1998,0,706900.0
1530.1,4,4.4,6.22,2018,2,601600.0
1743.1,2,2.1,7.0,2013,2,599100.0
1470.4,2,2.3,9.2,1981,3,558000.0
1968.7,2,2.8,4.11,1971,1,545600.0
2477.6,4,4.1,6.59,2023,1,767700.0
1507.1,3,3.1,1.35,2014,1,416300.0
2252.0,4,4.0,2.68,1965,1,605700.0
1734.9,2,2.9,8.48,2012,1,624500.0
1603.6,3,3.1,7.9,1975,2,595300.0
1946.5,3,3.6,4.16,1985,1,594500.0
1482.4,4,3.6,4.39,1964,2,481900.0
1723.2,4,4.3,5.8,1968,0,550200.0
1401.1,1,2.1,1.0,2005,2,377500.0
2982.4,3,2.9,3.17,1999,2,764300.0
2017.6,1,1.7,2.87,1973,2,477200.0
1650.1,3,2.9,3.25,2003,2,518700.0
2107.0,2,2.7,8.25,2022,2,726300.0
1943.8,2,2.5,3.52,2001,3,529700.0
1889.5,3,3.4,2.72,1989,1,539200.0
2307.1,3,2.9,5.54,2011,2,707500.0
2378.8,2,2.2,8.79,2011,0,740500.0
1734.7,3,2.8,3.17,1985,0,508900.0
1712.1,3,3.1,1.71,2012,1,501700.0
1862.5,1,1.8,4.21,2004,0,513800.0
849.0,4,4.4,7.73,1988,1,484500.0
1242.4,2,2.7,5.96,1978,1,444700.0
2683.4,3,3.2,8.35,2006,0,811400.0
2822.5,3,3.7,9.64,1967,3,882500.0
1875.5,2,2.7,8.13,1982,0,616100.0
2288.3,1,2.2,6.43,2012,2,642800.0
2155.6,3,3.3,5.44,2001,1,670400.0
3539.4,4,3.8,1.36,1994,3,836800.0
2559.8,3,2.8,9.86,1990,2,824100.0
1936.0,3,3.5,4.45,2012,2,621200.0
1522.2,3,2.9,2.37,1994,2,483100.0
1196.8,2,2.3,7.0,1991,0,430800.0
2101.7,3,3.3,3.56,2017,3,634000.0
1621.8,4,4.1,6.27,1964,2,559700.0
1288.9,2,2.6,6.28,1975,2,489700.0
1676.7,2,2.2,5.01,1976,2,518200.0
1459.2,2,2.4,8.53,1991,1,578900.0
2843.6,3,3.4,3.38,1997,2,724400.0
2440.8,5,5.2,5.04,2017,1,730200.0
1996.0,1,2.0,5.84,1991,2,582300.0
2740.0,3,3.7,6.97,2023,0,813400.0
2038.7,2,2.8,8.06,2011,3,718000.0
1569.4,5,4.8,4.55,1979,0,526500.0
2761.6,2,2.2,6.81,2007,1,786800.0
2269.5,3,3.4,2.36,2015,2,607500.0
1481.4,3,3.4,9.39,1961,2,613500.0
1904.8,3,3.4,4.45,1979,2,567400.0
1562.2,3,3.2,7.57,2006,1,603300.0
1308.6,2,2.5,1.18,1977,0,352100.0
2463.1,3,3.1,2.85,1960,2,598300.0
2954.7,2,2.5,5.38,2017,3,791800.0
1300.7,2,2.2,8.9,1988,2,558300.0
2281.5,3,3.6,5.75,1988,1,710900.0
1674.7,2,2.2,9.37,1978,3,623500.0
1756.4,2,2.1,5.35,2003,1,580200.0
1703.8,3,3.2,5.41,1999,2,606700.0
1568.0,5,4.9,2.08,1965,1,480500.0
2024.3,3,3.2,8.22,2003,1,693300.0
1584.5,1,1.5,3.22,1998,2,438800.0
2135.2,1,1.8,9.1,2009,2,706500.0
1974.9,5,4.6,9.2,2013,1,746900.0
1880.5,2,2.9,9.49,2005,1,685400.0
1546.2,1,2.2,5.68,1967,0,489800.0
1711.6,3,3.3,7.09,1983,2,599300.0
2377.7,3,3.1,8.01,1979,1,731900.0
2250.5,3,3.5,2.18,2013,0,563400.0
1511.2,2,2.0,6.41,1973,2,522200.0
2049.7,1,1.7,1.31,1964,2,464200.0
2375.7,5,4.6,5.48,2000,2,747700.0
1165.3,2,2.9,2.39,1999,2,382300.0
2271.7,3,2.8,2.65,1993,2,595700.0
1668.7,3,3.3,4.29,2019,3,576800.0
2285.3,3,3.5,4.89,1975,2,652200.0
1618.4,2,2.5,6.61,2004,2,576400.0
1097.6,2,2.1,1.67,1966,1,312500.0
1186.2,3,3.7,5.53,1975,3,500100.0
2024.0,4,4.0,2.64,1966,1,563400.0
2129.9,4,4.1,6.17,1986,1,680400.0
1547.8,2,2.2,6.74,1973,1,546600.0
2319.3,2,2.5,6.01,1973,0,644400.0
1169.2,4,3.9,7.64,2003,3,592400.0
1967.0,3,2.8,4.02,1992,2,587900.0
1394.5,4,3.6,7.89,1992,2,569300.0
1674.1,2,2.8,4.89,2003,2,561300.0
2023.7,3,3.0,5.36,1979,1,606400.0
1569.8,3,2.9,6.83,2012,0,574000.0
1807.7,3,3.3,1.17,2006,2,500100.0
2503.1,3,3.5,6.89,1995,2,752500.0
1711.6,1,1.3,6.57,1966,1,521100.0
2417.8,3,3.3,3.79,1991,2,650400.0
1435.1,2,2.1,1.77,2007,1,424500.0
2264.9,3,2.8,1.82,1962,1,541600.0
2720.8,5,4.3,9.31,1998,1,883700.0
764.2,3,3.6,7.2,1988,1,424400.0
1601.6,4,3.6,2.14,1983,2,487500.0
2288.5,2,2.0,4.21,1981,2,610800.0
1898.5,3,3.2,6.33,1965,1,603300.0
2185.6,5,5.1,8.52,2007,2,784800.0
1698.0,2,2.3,1.39,1983,2,412400.0
2043.3,1,1.7,3.13,1999,1,532000.0
1922.2,3,2.8,9.01,1982,1,699700.0
2583.9,1,1.7,1.08,2013,3,584600.0
2127.2,3,3.3,2.81,1997,2,611300.0
2168.8,4,4.1,9.63,1969,3,781800.0
1794.1,3,3.1,6.52,1975,1,590000.0
1756.2,2,2.3,3.36,1970,2,479600.0
