region,device,plan,satisfaction
West,Tablet,Premium,Medium
East,Desktop,Premium,High
East,Tablet,Enterprise,Low
West,Desktop,Basic,Medium
East,Desktop,Enterprise,High
West,Tablet,Premium,Low
North,Tablet,Basic,Low
West,Tablet,Premium,Medium
North,Desktop,Premium,High
South,Tablet,Enterprise,High
East,Mobile,Basic,Medium
East,Tablet,Basic,Medium
West,Desktop,Basic,Medium
South,Tablet,Premium,High
South,Tablet,Basic,Low
South,Tablet,Premium,Medium
South,Mobile,Premium,Medium
East,Desktop,Premium,Low
West,Mobile,Basic,Low
West,Mobile,Enterprise,High
North,Desktop,Premium,Medium
East,Desktop,Enterprise,High
North,Tablet,Basic,Low
South,Desktop,Basic,Medium
West,Tablet,Basic,High
North,Mobile,Basic,High
East,Tablet,Basic,Low
West,Desktop,Enterprise,Medium
East,Tablet,Basic,High
West,Mobile,Basic,High
East,Desktop,Basic,Low
East,Desktop,Basic,Medium
West,Tablet,Basic,Low
East,Tablet,Premium,High
East,Tablet,Premium,Medium
South,Mobile,Enterprise,Low
West,Mobile,Basic,Medium
North,Desktop,Enterprise,Medium
West,Desktop,Enterprise,Medium
West,Mobile,Basic,High
South,Tablet,Basic,Medium
North,Tablet,Premium,Low
North,Mobile,Basic,Medium
North,Tablet,Premium,Medium
East,Mobile,Enterprise,High
East,Tablet,Enterprise,Low
East,Tablet,Premium,Medium
North,Desktop,Premium,High
West,Tablet,Basic,High
West,Tablet,Premium,Medium
North,Mobile,Premium,Medium
North,Mobile,Basic,Medium
South,Mobile,Enterprise,High
East,Mobile,Premium,Medium
East,Tablet,Basic,High
East,Mobile,Basic,Low
South,Desktop,Premium,Medium
South,Mobile,Enterprise,Low
South,Tablet,Basic,Low
North,Desktop,Premium,Low
South,Tablet,Enterprise,High
West,Desktop,Premium,High
North,Desktop,Basic,High
North,Desktop,Basic,High
East,Tablet,Basic,Low
East,Desktop,Premium,High
South,Tablet,Basic,Low
West,Desktop,Premium,Low
North,Mobile,Enterprise,High
North,Mobile,Enterprise,Low
North,Desktop,Enterprise,High
East,Desktop,Enterprise,Low
East,Mobile,Basic,Medium
West,Mobile,Basic,High
East,Tablet,Premium,Low
West,Mobile,Enterprise,High
East,Tablet,Enterprise,Low
West,Desktop,Premium,High
East,Tablet,Premium,Medium
East,Desktop,Premium,Medium
South,Tablet,Premium,High
South,Tablet,Enterprise,High
South,Tablet,Basic,Low
West,Desktop,Enterprise,Low
West,Desktop,Premium,High
West,Tablet,Basic,Medium
West,Desktop,Enterprise,Medium
South,Tablet,Premium,High
North,Desktop,Basic,Low
East,Tablet,Basic,High
East,Mobile,Premium,High
West,Mobile,Basic,Medium
South,Tablet,Enterprise,Medium
North,Desktop,Enterprise,Low
South,Tablet,Enterprise,Low
East,Mobile,Basic,High
West,Mobile,Basic,High
West,Tablet,Premium,High
South,Mobile,Premium,High
West,Tablet,Basic,Medium
North,Mobile,Enterprise,Low
East,Desktop,Basic,Low
North,Desktop,Enterprise,Low
South,Desktop,Premium,Low
East,Tablet,Basic,Medium
North,Tablet,Basic,High
North,Desktop,Basic,Low
North,Desktop,Enterprise,Low
East,Desktop,Premium,High
East,Mobile,Enterprise,Medium
West,Desktop,Premium,Medium
South,Mobile,Enterprise,Low
West,Desktop,Premium,Low
South,Tablet,Enterprise,Low
East,Desktop,Basic,Medium
North,Mobile,Enterprise,Low
West,Desktop,Basic,High
East,Mobile,Basic,Medium
East,Desktop,Basic,Medium
East,Mobile,Enterprise,High
West,Mobile,Basic,High
East,Desktop,Enterprise,Medium
South,Desktop,Premium,Low
South,Tablet,Enterprise,Medium
North,Tablet,Enterprise,Low
West,Tablet,Enterprise,High
West,Mobile,Premium,Low
West,Mobile,Premium,High
West,Tablet,Premium,Low
West,Tablet,Basic,Low
East,Desktop,Enterprise,High
East,Tablet,Enterprise,Low
South,Mobile,Basic,Medium
West,Desktop,Basic,Low
West,Tablet,Enterprise,Medium
West,Tablet,Basic,High
South,Tablet,Basic,Low
West,Desktop,Premium,Low
West,Desktop,Basic,Medium
East,Desktop,Basic,Medium
South,Tablet,Enterprise,High
East,Desktop,Basic,Medium
North,Desktop,Basic,Medium
West,Desktop,Basic,Medium
North,Desktop,Premium,Low
West,Mobile,Enterprise,Low
North,Tablet,Premium,Low
East,Desktop,Basic,Low
South,Mobile,Enterprise,Low
North,Mobile,Enterprise,Medium
East,Tablet,Basic,Medium
North,Tablet,Premium,Low
North,Desktop,Basic,Low
South,Tablet,Premium,High
East,Tablet,Basic,High
South,Tablet,Enterprise,Medium
West,Tablet,Enterprise,High
South,Desktop,Premium,Medium
South,Mobile,Basic,High
North,Tablet,Premium,Low
North,Mobile,Enterprise,Low
North,Mobile,Enterprise,Medium
East,Mobile,Premium,Medium
South,Tablet,Premium,Medium
West,Tablet,Premium,Medium
North,Desktop,Premium,High
West,Tablet,Premium,Low
South,Tablet,Basic,High
South,Tablet,Premium,Low
South,Mobile,Premium,Low
West,Desktop,Enterprise,High
West,Mobile,Enterprise,Medium
West,Desktop,Basic,High
South,Tablet,Premium,High
South,Tablet,Premium,High
North,Mobile,Enterprise,Low
East,Mobile,Enterprise,Medium
West,Mobile,Enterprise,Low
East,Desktop,Premium,High
West,Mobile,Premium,High
West,Tablet,Basic,Low
East,Desktop,Enterprise,Low
East,Desktop,Enterprise,Medium
